prn,toe,toc,a0,a1,a2,sqrt_a,e,i0,omega0,omegadot,m0,w,delta_n,idot,c_uc,c_us,c_rc,c_rs,c_ic,c_is,tgd,health,week,fit_interval
5,331200.0,324018.0,-0.000171996187419,-1.36424205266e-12,0.0,5153.61204147,0.0058251011651,0.971456416419,-2.88752400615,-7.66817655319e-09,-0.985562081737,1.24306423301,3.98695178683e-09,2.45367363393e-10,-4.38094139099e-06,1.25281512737e-05,141.375,-84.65625,-7.07805156708e-08,1.49011611938e-07,-1.07102096081e-08,0.0,2313,4
5,338384.0,331218.0,-0.000172005034983,-1.36424205266e-12,0.0,5153.61450958,0.0058262363309,0.971458062202,-2.88757977844,-7.74567978151e-09,0.062432094673,1.24295061841,4.04445418204e-09,2.81797452281e-10,-3.68617475033e-06,1.25002115965e-05,142.6875,-75.1875,-7.264316082e-08,3.16649675369e-08,-1.07102096081e-08,0.0,2313,4
5,345584.0,345126.0,-0.000172013882548,-1.36424205266e-12,0.0,5153.61249733,0.0058252265444,0.971460108824,-2.88763558877,-7.72425031746e-09,1.11272011054,1.24287753102,4.14838708269e-09,2.9108355337e-10,-3.77930700779e-06,1.23810023069e-05,150.90625,-73.875,-1.210719347e-07,-7.45058059692e-09,-1.07102096081e-08,0.0,2313,4
6,259200.0,252018.0,0.00028454978019,-1.9213075575e-11,0.0,5153.61847115,0.00302390684374,0.989765140468,2.41133706596,-7.93390190743e-09,-1.27394506291,-0.695603006749,3.92659212975e-09,-2.41795786051e-10,-7.56792724132e-06,6.61052763462e-06,269.65625,-141.0625,-2.421438694e-08,-9.49949026108e-08,3.72529029846e-09,0.0,2313,4
6,266384.0,264048.0,0.000284412875772,-1.9213075575e-11,0.0,5153.61510849,0.00302291091066,0.989763439094,2.41128003556,-7.9481882168e-09,-0.226574642589,-0.695095362472,3.88766193672e-09,-2.41795786051e-10,-7.6163560152e-06,5.51901757717e-06,283.53125,-144.34375,2.421438694e-08,-7.82310962677e-08,3.72529029846e-09,0.0,2313,4
6,266400.0,259218.0,0.000284411013126,-1.9213075575e-11,0.0,5153.61511231,0.0030229112599,0.989763446409,2.41127991268,-7.9481882168e-09,-0.224240774768,-0.695095434155,3.88730477899e-09,-2.41795786051e-10,-7.6163560152e-06,5.51901757717e-06,283.53125,-144.34375,2.421438694e-08,-7.82310962677e-08,3.72529029846e-09,0.0,2313,4
6,273584.0,266418.0,0.000284274574369,-1.9213075575e-11,0.0,5153.61756325,0.00302424526308,0.989761655797,2.41122280913,-7.94533095493e-09,0.82361044675,-0.695069903309,3.76872841124e-09,-2.53939149013e-10,-7.86036252975e-06,5.54323196411e-06,286.71875,-154.3125,7.264316082e-08,-5.77419996262e-08,3.72529029846e-09,0.0,2313,4
6,280800.0,273618.0,0.000284135807306,-1.9213075575e-11,0.0,5153.61683464,0.003023797879,0.989759985145,2.41116636097,-7.83711216147e-09,1.87625355884,-0.695169172541,3.71372612017e-09,-3.26442169055e-10,-7.95722007752e-06,5.86919486523e-06,280.59375,-155.71875,7.45058059692e-09,7.264316082e-08,3.72529029846e-09,0.0,2313,4
6,288000.0,282378.0,0.000283997040242,-1.9213075575e-11,0.0,5153.61616325,0.00302439380903,0.989757505499,2.4111100752,-7.8374693192e-09,2.9264213243,-0.695127457432,3.75408494413e-09,-3.55014787791e-10,-7.6238065958e-06,5.95301389694e-06,280.96875,-147.90625,7.45058059692e-09,3.16649675369e-08,3.72529029846e-09,0.0,2313,4
6,295200.0,288018.0,0.00028385873884,-1.9213075575e-11,0.0,5153.61611366,0.00302459218074,0.989754717177,2.41105360071,-7.88354266691e-09,-2.30637777156,-0.695302274679,3.78801492888e-09,-3.6430088888e-10,-7.35744833946e-06,5.66616654396e-06,286.71875,-141.6875,-3.35276126862e-08,6.70552253723e-08,3.72529029846e-09,0.0,2313,4
6,302400.0,296298.0,0.000283719971776,-1.9213075575e-11,0.0,5153.61822891,0.00302386959083,0.98975202687,2.41099650302,-7.92497296408e-09,-1.25583990392,-0.695630556422,3.77015704217e-09,-3.44300055765e-10,-7.07805156708e-06,5.21913170815e-06,295.90625,-135.71875,-3.35276126862e-08,1.86264514923e-09,3.72529029846e-09,0.0,2313,4
6,309600.0,302418.0,0.000283581670374,-1.9213075575e-11,0.0,5153.61405754,0.00302242045291,0.989749133218,2.41093994222,-7.95068832094e-09,-0.206185088734,-0.695074341802,3.85551774065e-09,-4.51804533758e-10,-7.07805156708e-06,4.40888106823e-06,312.125,-135.375,4.28408384323e-08,-1.06170773506e-07,3.72529029846e-09,0.0,2313,4
